regulator	NES_TCGA	NES_MTBRC	size_TCGA	size_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
SON	-1.07065138157027	-0.0419918599273322	43	95	0.284326211097709	0.966505187231964	-0.786757581104333	0.431423789454586	0.767416919875523
MAX	-1.15668546263783	0.03464245480194	54	63	0.247400891199637	0.97236484776528	-0.793404219623712	0.42754235309013	0.767416919875523
NFAT5	-1.18153935429478	-0.0121649255692616	29	26	0.237388529271009	0.990294033095816	-0.844076391023268	0.398626719493001	0.766589845178849
ELF2	-1.12280919221302	-0.152511822179123	27	44	0.261518540528754	0.878783266761094	-0.901788137466394	0.367169422491631	0.763647397553297
ZNF277	-0.769293399930776	-0.744127786182387	29	27	0.441719154445293	0.456799170654685	-1.07015038349201	0.284551623559942	0.661795564053849
IKZF5	-1.20662298261266	-0.377268991965435	27	73	0.22757737168876	0.705973713368918	-1.11998075589112	0.262721962825557	0.661795564053849
MECP2	-1.19849158986036	-0.507231126085989	26	50	0.230725695167741	0.611992657689056	-1.2061280992696	0.227768101865745	0.632689171849292
GPBP1	-1.48801523906621	-0.28875598058848	51	51	0.136746874815304	0.772768120151865	-1.25636697803492	0.208982948399256	0.62644433149644
ARID2	-1.1628012789568	-1.20165611721526	26	29	0.244910138144033	0.229496789695137	-1.67192385865995	0.0945393374027219	0.417085312070832
VEZF1	-1.25006239868477	-3.02523308866592	37	29	0.211276754097249	0.00248441580422381	-3.02309043068192	0.00250207462496237	0.0312759328120296
