regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
SETDB1	0.440603881902179	0.137938974251879	0.659499792046159	0.89028864781267	0.409091576793568	0.682472457514972	0.944523513675027
ZNF512B	0.801847243180752	-0.241048252694377	0.422641326707962	0.809517718644543	0.396544769055486	0.691703187945265	0.944523513675027
ZNF770	-0.687443576050322	1.20592575350958	0.491803245551743	0.227846119594449	0.366622263605807	0.713900798961488	0.944523513675027
ESRRA	0.453467204256972	0.0339178294490567	0.650212353661645	0.972942675523485	0.344633262382367	0.730370096296754	0.944523513675027
ZNF318	-0.512868822275151	0.944048832923976	0.608043083849229	0.345144694569937	0.304890309441872	0.760449696547551	0.944523513675027
ZNF408	0.97580349410703	-0.570592440126613	0.329161852913944	0.568275944252168	0.286527484081301	0.774474146205162	0.944523513675027
CEBPZ	-0.142987428263062	0.513829035785723	0.886300109959432	0.607371525622142	0.262224615425394	0.793148276836312	0.944523513675027
THAP7	0.668092631101519	-0.315144849853336	0.504074465314167	0.752651676888328	0.249571769525336	0.802918532493983	0.944523513675027
ZNF574	0.739876596755359	-0.393165737844324	0.459374876192395	0.694197073491828	0.245161599447005	0.806331308381758	0.944523513675027
ZNF609	0.123348643639486	0.18338739705317	0.901831022848996	0.854494063873965	0.216895134408089	0.828290069532639	0.944523513675027
TBPL1	-0.184317886405211	0.428194460317725	0.853764082989368	0.668509549135367	0.172446779186081	0.86308629850891	0.944523513675027
CTCF	-0.0577701521164686	0.288224011311806	0.953931713618481	0.773175269934777	0.162955486587633	0.870553482662888	0.944523513675027
DRAP1	0.260471065963563	-0.0904512998967702	0.794500431245062	0.927928592301012	0.12022212952158	0.904307188089537	0.944523513675027
SMAD5	-0.245924953323821	0.389040134474126	0.805740326952328	0.697246457403248	0.101197715082122	0.919393510508682	0.948735856588747
PIN1	0.242791016985384	-0.118799447928387	0.808167294804232	0.905434246076879	0.0876752792901625	0.93013476821214	0.949204897604508
PRDM4	0.215614837243105	-0.108134929851577	0.829287989383089	0.913888660582139	0.0759997713578513	0.939419280103431	0.949204897604508
GTF2I	-0.586234474756162	0.656512960504514	0.55771795743701	0.511494131296208	0.0496943938441822	0.960365924005901	0.960365924005901
