gene	log2FoldChange	lfcSE	stat	pvalue	padj	is_kbhb
TBC1D13	-0.738963941721295	0.0547269897039359	-13.5027332166262	1.50680524073548e-41	8.4626745904472e-41	TRUE
PAPSS1	1.06795162483042	0.079383103390645	13.4531352292316	2.9509011154561e-41	1.63942269460917e-40	TRUE
ABT1	0.76683511949576	0.0570849282412364	13.4332326083546	3.86178584229993e-41	2.13611110060977e-40	TRUE
SNCA	-1.75045471973786	0.131021520212189	-13.3600550268613	1.03487617631223e-40	5.67476057120662e-40	TRUE
NCK2	0.82388210531932	0.0619077489328589	13.3082226299788	2.07355974498987e-40	1.12914379367553e-39	TRUE
DDX27	0.72614236647493	0.0545978156366523	13.2998428235188	2.31955412275477e-40	1.26059728512881e-39	TRUE
DCUN1D5	0.914966314023266	0.068899213875662	13.2797787166984	3.03289092942073e-40	1.64338976422413e-39	TRUE
FH	0.953448234073743	0.072133646656035	13.2178016539245	6.92586860101835e-40	3.724633515773e-39	TRUE
SLU7	-0.576951871486451	0.0436592518933458	-13.2148822177685	7.19989308500801e-40	3.86947256628025e-39	TRUE
PCGF1	0.783440794258255	0.0592953040654148	13.2125268030325	7.4288138351024e-40	3.98989815468464e-39	TRUE
WDR12	0.778287375146763	0.0590414829590112	13.1820431354524	1.11334256134791e-39	5.94083342764616e-39	TRUE
RBBP7	0.777017406258713	0.0590630449219274	13.1557288874255	1.57754832147355e-39	8.37983490635644e-39	TRUE
TTC12	-1.02031575419517	0.0776601363483386	-13.1382173940388	1.98856261611326e-39	1.05291513181791e-38	TRUE
AUH	-0.816005108602075	0.0622207642636523	-13.1146751130276	2.71342540195226e-39	1.4275391723306e-38	TRUE
GLUD1	-0.745254077756005	0.057055061616023	-13.062015124469	5.42719105527238e-39	2.83173495269868e-38	TRUE
CCDC86	0.995382848853473	0.0764224349795363	13.0247465828589	8.84943943426927e-39	4.5882783112126e-38	TRUE
PLA2G4D	3.07079135173103	0.236548768448044	12.9816416795487	1.55511158161497e-38	8.00250700451676e-38	TRUE
PPME1	0.747570228433954	0.0577272512492886	12.950040271373	2.34830841685634e-38	1.20166546613963e-37	TRUE
PDLIM3	-1.77568397348379	0.137143024910466	-12.9476798010183	2.42162990057788e-38	1.23841551468372e-37	TRUE
COPS7B	0.662947719308483	0.0512736123419144	12.9296082142148	3.06376073567678e-38	1.5604994752363e-37	TRUE
BTF3L4	0.691033519381946	0.053658674759596	12.8783187896075	5.96201412103248e-38	3.01710161435285e-37	TRUE
AHCY	1.03361064744772	0.0804341375853795	12.8503975858579	8.55693179423775e-38	4.31435994659256e-37	TRUE
ASPSCR1	1.13718969231171	0.0887385036565622	12.815064999438	1.35025172483009e-37	6.75412975479257e-37	TRUE
NCL	0.698572103784055	0.0545377542025842	12.8089635152405	1.46072653496672e-37	7.30008614606889e-37	TRUE
HDAC1	0.787662036093625	0.061536822442039	12.7998490145557	1.64270307892989e-37	8.19957308297621e-37	TRUE
FUS	0.789442981633596	0.0619637692539	12.7403963822602	3.52598807836735e-37	1.74361698758184e-36	TRUE
RBM15	0.756446432322724	0.0594716094197149	12.7194545381172	4.61067469978527e-37	2.2752166701038e-36	TRUE
SUMO2	0.726079620452345	0.057090794697707	12.7179806183624	4.69846127390986e-37	2.3171477028294e-36	TRUE
SH3GL1	0.973481725911621	0.0768301050586491	12.6705765294542	8.60794055119444e-37	4.20489341609371e-36	TRUE
PTPN2	0.752388197255002	0.0593884504218773	12.6689312805818	8.7903829930168e-37	4.29146862573399e-36	TRUE
BAG6	0.640132727323153	0.0506677226836341	12.6339352435494	1.37239289876669e-36	6.65857214613761e-36	TRUE
RPL17	1.08004161956808	0.0854945582383519	12.6328697618042	1.39110699669783e-36	6.74738112360035e-36	TRUE
RPS23	-1.05765359857671	0.0841488450856215	-12.5688427155541	3.13276041349844e-36	1.50224710917527e-35	TRUE
TADA1	0.736129082953709	0.0586864968000402	12.5434149777569	4.3197118719482e-36	2.06540927396548e-35	TRUE
ZNF706	0.823325416727088	0.0657014276321996	12.5313169956688	5.03200534848887e-36	2.39971132561733e-35	TRUE
DRAP1	1.28272304490975	0.102373401845998	12.5298468330608	5.12615800792626e-36	2.44248969665862e-35	TRUE
RNF114	0.641724238564182	0.0512239767957557	12.5278098013147	5.25951413313678e-36	2.50458123858772e-35	TRUE
PPIF	1.21035703609917	0.0966843998786691	12.5186383492897	5.90392923791652e-36	2.80658206584213e-35	TRUE
WBP4	-0.724467814867399	0.0578893010022615	-12.5147100124615	6.2034015446254e-36	2.94639207485856e-35	TRUE
CEP70	0.882326436510327	0.0706038683383249	12.4968568617562	7.76615591198458e-36	3.66959223537016e-35	TRUE
NSUN2	0.831647505347968	0.066550896527761	12.4964132526908	7.80960186920419e-36	3.68906236317227e-35	TRUE
