Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
FOXM1	GO:0007018	microtubule-based movement	17/333	326/13095	0.0521472392638037	2.05065494942796	3.10305434906325	0.00414938338903718	0.0381013412823968	0.0329503580627811	DNAAF5/CENPE/KIFC1/KIF4A/KIF11/KIF15/KIF23/KIF2C/NDE1/INTS13/KIF18B/KIF18A/KIF20B/KIF20A/DLGAP5/STARD7/AKAP3	17
FOXM1	GO:1904666	regulation of ubiquitin protein ligase activity	3/333	14/13095	0.214285714285714	8.42664092664093	4.49091553014719	0.00481603094772994	0.0435140744924702	0.0376313349357036	CDC20/PLK1/MAD2L1	3
FOXM1	GO:0045814	negative regulation of gene expression, epigenetic	10/333	152/13095	0.0657894736842105	2.58712660028449	3.17917770231967	0.00548307965063304	0.0489139289086536	0.0423011741201403	CHEK1/DNMT1/H2AZ1/HDAC3/CDK2/EZH2/LMNB2/LMNB1/POLE3/HNRNPK	10
HMGA1	GO:0022613	ribonucleoprotein complex biogenesis	71/499	437/13095	0.162471395881007	4.26365316445247	13.8112277537642	4.86612805511723e-26	1.71093062417922e-22	1.6380923705542e-22	RIOK1/RIOK3/RRP36/RRP15/SF3B2/SF3B4/SF3B6/HTATSF1/SNRPC/SNRPE/SNRPG/SRPK1/C1QBP/BUD13/SNRPA1/SNRPD1/SNRPD3/GEMIN4/USP39/UTP18/DDX54/DDX28/PRPF19/HSP90AA1/WDR77/WDR74/WDR46/EIF3D/EIF3E/EIF3H/EIF5B/PAK1IP1/PTGES3/EBNA1BP2/RAN/RPS27A/MRTO4/NOP58/NOP56/NOLC1/ABT1/BYSL/EIF6/DKC1/DENR/NGDN/NIP7/MTG1/MCAT/LSM2/PNO1/PES1/NOA1/NOB1/NOL7/NPM3/RPF2/RPL5/RPSA/PWP1/SLU7/UTP3/UTP4/UTP14A/MPHOSPH10/PRPF6/PUF60/EIF4A3/EIF2S2/RCC1L/GTPBP4	71
HMGA1	GO:0022618	protein-RNA complex assembly	38/499	187/13095	0.203208556149733	5.33269748052254	11.8773568982594	1.14000538035624e-17	2.00412945866627e-14	1.91880905598908e-14	SF3B2/SF3B4/SF3B6/HTATSF1/SNRPC/SNRPE/SNRPG/SRPK1/BUD13/SNRPA1/SNRPD1/SNRPD3/GEMIN4/USP39/DDX28/PRPF19/HSP90AA1/WDR77/EIF3D/EIF3E/EIF3H/PTGES3/MRTO4/ABT1/EIF6/DKC1/DENR/MTG1/MCAT/LSM2/RPF2/RPL5/RPSA/SLU7/PRPF6/PUF60/EIF2S2/RCC1L	38
HMGA1	GO:0071826	protein-RNA complex organization	38/499	196/13095	0.193877551020408	5.08782871866181	11.4765887595733	6.0434111434634e-17	7.0828778601391e-14	6.78134345150735e-14	SF3B2/SF3B4/SF3B6/HTATSF1/SNRPC/SNRPE/SNRPG/SRPK1/BUD13/SNRPA1/SNRPD1/SNRPD3/GEMIN4/USP39/DDX28/PRPF19/HSP90AA1/WDR77/EIF3D/EIF3E/EIF3H/PTGES3/MRTO4/ABT1/EIF6/DKC1/DENR/MTG1/MCAT/LSM2/RPF2/RPL5/RPSA/SLU7/PRPF6/PUF60/EIF2S2/RCC1L	38
HMGA1	GO:0006364	rRNA processing	33/499	212/13095	0.155660377358491	4.08491511324536	9.01307033903086	4.57227831191364e-12	3.21522610893767e-09	3.07834653505259e-09	RIOK1/RIOK3/RRP36/RRP15/GEMIN4/UTP18/DDX54/WDR74/WDR46/PAK1IP1/EBNA1BP2/MRTO4/NOP58/NOP56/NOLC1/ABT1/BYSL/EIF6/DKC1/NGDN/PES1/NOB1/NOL7/NPM3/RPF2/RPL5/PWP1/UTP3/UTP4/UTP14A/MPHOSPH10/EIF4A3/GTPBP4	33
HMGA1	GO:0032543	mitochondrial translation	23/499	127/13095	0.181102362204724	4.75257601817809	8.45794727355201	3.9514312386827e-10	1.98474746217263e-07	1.90025219568531e-07	SHMT2/TRMT10C/MRPS35/MRPS23/MRPS28/MRPL11/MRPL15/MRPL33/MRPL36/MRPL37/MRPL44/MRPL45/MRPL48/C1QBP/RPUSD3/MRPL4/MRPL1/MRPS9/MRPS5/DAP3/MTG1/MRPS18A/MRPS18B	23
HMGA1	GO:0140053	mitochondrial gene expression	23/499	166/13095	0.13855421686747	3.63600695366637	6.80280845778309	7.90097644756734e-08	1.98427379926048e-05	1.89979869769326e-05	SHMT2/TRMT10C/MRPS35/MRPS23/MRPS28/MRPL11/MRPL15/MRPL33/MRPL36/MRPL37/MRPL44/MRPL45/MRPL48/C1QBP/RPUSD3/MRPL4/MRPL1/MRPS9/MRPS5/DAP3/MTG1/MRPS18A/MRPS18B	23
HMGA1	GO:0010608	post-transcriptional regulation of gene expression	44/499	498/13095	0.0883534136546185	2.31861312987421	5.97129624430234	1.69548581497812e-07	3.50666360321356e-05	3.35737686458205e-05	AARS1/ABCF1/SHMT2/SMYD5/HTATIP2/ZNF598/POLR2G/TRMT10C/TRAP1/C1QBP/TARDBP/RPS6KB2/EIF3E/EIF3H/EIF5B/EIF1B/EPRS1/GCNT2/METAP2/IFRD2/NCL/RAN/SSB/RPUSD3/MIF4GD/KHSRP/YTHDF1/NOLC1/CALR/BZW2/ELP6/ELOB/EIF6/DKC1/NGDN/MTG1/RPL5/RPS3/CNOT11/YBX1/XPO5/EIF4G1/EIF4A3/RBM38	44
HMGA1	GO:2001252	positive regulation of chromosome organization	16/499	97/13095	0.164948453608247	4.32865731462926	6.54917812812479	7.12262921684674e-07	0.000131806128033859	0.000126194837869672	AURKB/HSP90AA1/PTGES3/MAD2L1BP/MAPK3/CCT2/CCT7/CCT5/CCT4/CCT3/DKC1/GNL3/FEN1/ACTL6A/SKA1/NCAPD2	16
