gene	lfc_tcga	padj_tcga	lfc_mtbrc	padj_mtbrc	sig_tcga	sig_mtbrc	concordant	category
MRGBP	1.52539245363846	4.67555346114217e-129	0.475173682063422	5.4840352461616e-18	TRUE	FALSE	FALSE	TCGA only
MRPL12	2.26037963435662	1.3338474521711e-44	0.670577870614994	6.72547490784729e-27	TRUE	TRUE	TRUE	Concordant up
MRPL39	0.55582548697601	1.90869856383525e-16	0.333679732358212	3.00098322889187e-07	TRUE	FALSE	FALSE	TCGA only
MRPL44	0.249101087646756	1.01692957419512e-06	0.226770078459268	9.12489835579872e-11	FALSE	FALSE	FALSE	Not DE
MRPL47	1.48595584079592	1.34615767878171e-90	0.367145232357613	2.27508170522445e-14	TRUE	FALSE	FALSE	TCGA only
MRPS28	0.446045362524104	2.09947544453499e-07	0.12053266213599	0.0496234068904677	FALSE	FALSE	FALSE	Not DE
MRTO4	0.995005413212478	1.34388664649555e-46	0.33833912320024	2.96697590096731e-12	TRUE	FALSE	FALSE	TCGA only
MSH2	1.30298177814179	4.83421121289129e-83	0.284521172188549	8.97348284329723e-18	TRUE	FALSE	FALSE	TCGA only
MSH6	1.12116181041938	1.34469376032655e-61	0.751492639417927	9.88881632060356e-44	TRUE	TRUE	TRUE	Concordant up
MSL1	0.234182767532043	0.00109941137919438	NA	NA	FALSE	FALSE	FALSE	Not DE
MTA1	0.438233160054666	4.40335660588226e-12	-0.162964898095918	0.0190298013552295	FALSE	FALSE	FALSE	Not DE
MTA2	0.783166894880277	6.10780761399107e-51	0.256701109551334	4.41278026715536e-09	TRUE	FALSE	FALSE	TCGA only
MTA3	0.31074291665714	3.07897308384653e-08	0.124012991550564	0.0115285245162485	FALSE	FALSE	FALSE	Not DE
MTHFD1L	2.0823085167735	1.17327093458105e-147	1.02813660347129	4.97849778226305e-42	TRUE	TRUE	TRUE	Concordant up
MTHFD2	2.04381579498433	1.44828646944388e-155	0.77639288684403	8.20255526837213e-29	TRUE	TRUE	TRUE	Concordant up
MVD	1.1786169593929	1.35529401342645e-23	0.386879296875811	2.68047428093687e-14	TRUE	FALSE	FALSE	TCGA only
MYBBP1A	0.631709217772209	2.9009055191156e-18	0.167998850816529	4.35515291627435e-07	TRUE	FALSE	FALSE	TCGA only
MYBL2	4.9359459629207	8.50550016504979e-310	NA	NA	TRUE	FALSE	FALSE	TCGA only
MYH9	0.198322239636902	0.0154584586561735	0.0620857573465845	0.272314475557214	FALSE	FALSE	FALSE	Not DE
MYL6B	0.720804126599806	2.25983938092156e-14	0.0741216203417388	0.182782680290324	TRUE	FALSE	FALSE	TCGA only
MYO6	0.218041391663668	0.0207845896851335	-0.264537373920083	1.33384144692241e-05	FALSE	FALSE	FALSE	Not DE
N4BP1	-0.226308831943451	2.73557188226252e-06	-0.35874467628057	5.25957711786194e-14	FALSE	FALSE	FALSE	Not DE
NAB2	0.375367258407476	4.2885267163181e-06	0.0120439067087935	0.815726605775759	FALSE	FALSE	FALSE	Not DE
NACA	-0.291073783389412	4.57479330376595e-05	-0.205205863386493	0.000611990361685095	FALSE	FALSE	FALSE	Not DE
NACAD	-1.3107269958362	2.42719431354074e-20	-0.380035320306553	2.34762031130429e-10	TRUE	FALSE	FALSE	TCGA only
NACC1	1.44969157719939	1.10535057049123e-84	NA	NA	TRUE	FALSE	FALSE	TCGA only
NAMPT	0.135022086393992	0.168471319496416	0.256729781037693	0.000128213268460789	FALSE	FALSE	FALSE	Not DE
NASP	1.25344952278253	1.22148683715309e-74	0.487315140533383	2.72485096312201e-16	TRUE	FALSE	FALSE	TCGA only
NAT10	1.06577676005049	6.99737168896418e-57	0.353691393933502	1.85173398443871e-10	TRUE	FALSE	FALSE	TCGA only
NBN	0.55334463025609	1.39200442134255e-16	0.172725817480122	0.00520591306847664	TRUE	FALSE	FALSE	TCGA only
NCAPD3	1.02823821468669	1.37242988927444e-50	0.521284051726913	2.22700427421524e-30	TRUE	TRUE	TRUE	Concordant up
NCAPG	3.93505448080341	6.42905030661548e-304	1.47023870450459	4.20422184016246e-69	TRUE	TRUE	TRUE	Concordant up
NCAPH	3.65404115106379	0	NA	NA	TRUE	FALSE	FALSE	TCGA only
