gene	logFC	AveExpr	t	P.Value	adj.P.Val	is_kbhb
TOP2A	1.69763540748629	8.90361397869423	18.9432866913082	5.62587708158872e-56	7.16760680096878e-54	TRUE
CBX2	1.92035358908916	8.33227633781802	18.9040210323996	8.16986868647209e-56	9.98391299889691e-54	TRUE
STMN1	1.31347609256178	8.38319981335609	18.8487082901701	1.38184004875384e-55	1.6548916423876e-53	TRUE
XPO5	0.781185079177814	7.71565325588836	18.4863581691822	4.32088538322392e-54	4.62026101334729e-52	TRUE
NUSAP1	1.30090265795638	8.41197699958722	18.3249209479881	2.00236284196134e-53	2.03222859282449e-51	TRUE
CKS2	1.39556103501426	9.68756246990272	18.0048238385497	4.18305137321531e-52	4.04001800367956e-50	TRUE
CDCA2	1.08292306489372	6.43254313582898	17.9669502298756	5.99248321281445e-52	5.74127831653327e-50	TRUE
BLM	0.86257579256644	6.49499128523525	17.903866466585	1.09043799738921e-51	1.02827444541206e-49	TRUE
PPP1R14B	0.877045070528467	10.3621224425798	17.6384469628716	1.35193694935457e-50	1.15250071036127e-48	TRUE
SMC4	0.980556654269338	8.62072848621996	17.3257639917852	2.61581713526029e-49	2.02109845237918e-47	TRUE
MASTL	0.838670810635069	6.82181675809875	17.2744529225867	4.25181057668813e-49	3.22276477635551e-47	TRUE
TICRR	0.765103517920218	6.00367025326561	17.1944473112957	9.06589489101985e-49	6.66092989048182e-47	TRUE
DKC1	0.850506505661811	9.66779944773639	17.1890311748976	9.54260659205831e-49	6.96843027722502e-47	TRUE
MAGED2	-1.02137599345393	7.90949566896289	-17.1038188476097	2.13669183942561e-48	1.52315603981911e-46	TRUE
UBE2S	1.23464181281621	9.52999970385448	16.9738002238016	7.3041380983732e-48	4.9142897677594e-46	TRUE
HEATR1	0.911275553795819	8.46912414413645	16.7006082507437	9.63434840181805e-47	6.17010462353866e-45	TRUE
PBK	1.02785896602719	6.50612371850707	16.6713752320828	1.26932380287918e-46	8.0858626932346e-45	TRUE
