regulator	NES_TCGA	NES_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
TP53	0.804206154323978	0.130382956843235	0.421277925101614	0.896263449952114	0.660854298129445	0.508705757240732	0.950385024576922
ZBTB9	1.41178731307765	-0.482760226425483	0.158012595168321	0.629265994587102	0.656921352877726	0.511231487600948	0.950385024576922
SNAPC5	0.345704441711985	0.580264100256102	0.729564845856655	0.561736532819879	0.654758635191054	0.512623166844003	0.950385024576922
MAX	0.40480953497429	0.507189304809716	0.685617519467932	0.612021998598171	0.644880564045535	0.519004587889525	0.950385024576922
PIN1	0.759164320359759	0.086849375303493	0.447754266647401	0.930791240046524	0.598222021180178	0.549691799708029	0.987745537589605
ZNF830	0.707814297045965	0.130314505570268	0.479060586692374	0.896317604144919	0.5926465598377	0.553417712550204	0.987745537589605
ADNP	-0.0838989900235166	0.885012961378492	0.933136742575412	0.376149640774799	0.566473121648388	0.571072199579963	0.995401249173013
CDC5L	-0.154783838501225	0.849031796769202	0.876991732656777	0.395863599451449	0.490907439116201	0.623491915291343	0.995401249173013
ELK1	0.82703666369153	-0.211965540836466	0.408216280962916	0.832133917890768	0.43492096188284	0.66361979870308	0.995401249173013
ZNF408	0.788596336528805	-0.19812522737475	0.43034797281149	0.842947087458152	0.417526125377575	0.676293619169281	0.995401249173013
YY1	-0.150865888790309	0.726092736426157	0.880081509246594	0.467781921570268	0.40674680468387	0.684193960330178	0.995401249173013
ZNF511	0.119036450181358	0.445876750502398	0.905246478002743	0.655686277303946	0.399453954985281	0.689558744833055	0.995401249173013
CASZ1	-0.00683087069189324	0.556116374279693	0.994549796123271	0.578131302060956	0.388403504394401	0.697717451269395	0.995401249173013
CTCF	-0.143726025955702	0.582998625734372	0.88571681882892	0.559894225358437	0.310612634092942	0.756095121365483	0.995401249173013
ZNF770	-0.840843499482224	1.2643764497137	0.400435614367062	0.20609494154863	0.299483021164624	0.764571525043161	0.995401249173013
RFX1	0.56443370079563	-0.220626825736869	0.572459008852622	0.82538301179803	0.243108172772606	0.807921600158821	0.995401249173013
GTF2I	-0.641516416275546	0.950909714424352	0.521187218584357	0.341650209988101	0.218774099174692	0.826826024000552	0.995401249173013
PRMT3	-0.368653103265357	0.658222310760991	0.71238630843157	0.510395290496866	0.204756350242977	0.837762491852957	0.995401249173013
MBD3	0.641142621022214	-0.357725362632249	0.521430025141386	0.720548850814284	0.200406265312844	0.841162859873815	0.995401249173013
SP2	-0.0859204344289586	0.36427772799087	0.931529667253499	0.715650629502381	0.196828329870362	0.843961880729324	0.995401249173013
NFE2L1	-0.216424690745777	0.473638315730825	0.828656721870769	0.635757847481256	0.181877498440501	0.855678863602314	0.995401249173013
CENPB	1.03526964885549	-0.825401339976942	0.300542999962415	0.409143774426218	0.148399304364177	0.882027649030878	0.995401249173013
ZNF395	-0.669699842393604	0.867447284932809	0.503049152182194	0.385696983273639	0.139828557581768	0.888795449264705	0.995401249173013
DRAP1	0.992522597149271	-0.797386438781434	0.320942661866363	0.42522663279674	0.137982100836589	0.890254563688334	0.995401249173013
SP3	-0.790086078866532	0.985051258501038	0.42947749932783	0.324598893422461	0.137861200614812	0.890350114966534	0.995401249173013
ZNF146	-0.184897468052945	0.357395312026353	0.853309456953025	0.720795885792764	0.121974395213656	0.902919296493124	0.995401249173013
ZBTB17	0.466763523869548	-0.298213853754997	0.64066907556461	0.765539948816101	0.119182614704754	0.905130679924912	0.995401249173013
NFXL1	-0.574465027366252	0.725996916918505	0.565653159927379	0.46784066059927	0.107149226668409	0.914670594690705	0.995401249173013
ZNF653	0.755818811083448	-0.634908299800957	0.449757836757983	0.525488223618981	0.0854966424445822	0.931866564640746	0.995401249173013
NKRF	0.510015113712866	-0.411106304533501	0.610040873414102	0.680994587302521	0.0699390896898149	0.944242140215591	0.995401249173013
GTF2B	-0.267919612924702	0.326343068577704	0.788761196493426	0.744164806242785	0.0413116216725895	0.967047468225729	0.995401249173013
ADNP2	-0.50810996666454	0.556247393137826	0.611376226040669	0.578041744570455	0.0340383006881292	0.972846608852789	0.995401249173013
ZNF787	0.776605881221679	-0.734991099699679	0.437391330636588	0.462344914601687	0.0294260942118027	0.97652476164122	0.995401249173013
ZNF384	-0.421380499917809	0.454560188525346	0.67347725614745	0.649425681586442	0.0234615828120475	0.981282082518077	0.995401249173013
BRF2	0.682901995764142	-0.688283205654142	0.494668772760548	0.491274455510083	-0.00380509000420728	0.996963984759443	0.996963984759443
ZNF143	-0.346611424360127	0.332086223115469	0.728883262008164	0.739824152751204	-0.010270868298197	0.991805176838736	0.996963984759443
HBP1	-1.147131359491	1.07320423172894	0.251327334910386	0.283179492442228	-0.0522743733541967	0.958310072492056	0.995401249173013
ELF2	-0.801598985949584	0.726730665274655	0.422784964399965	0.467390964243952	-0.0529398972452909	0.957779795545752	0.995401249173013
NFKB2	0.437292139045915	-0.538062776956078	0.661899495560335	0.590533709379533	-0.0712556014107708	0.943194330305515	0.995401249173013
SON	-0.799780735401003	0.690521652174223	0.423837846512718	0.489866198480127	-0.077257838655881	0.938418430494904	0.995401249173013
THAP11	0.327723651293136	-0.525126550487564	0.743120618989482	0.599495220196873	-0.139584928646264	0.888987949229248	0.995401249173013
SAFB	0.976871014509071	-1.19599005174508	0.328633013254348	0.231700441277303	-0.154940557116647	0.876868179752992	0.995401249173013
IKZF5	-1.47564330602255	1.25243270328781	0.140039673016007	0.210412235935577	-0.157833730826476	0.874587818426858	0.995401249173013
PCGF6	-0.810647021638358	0.58055795735696	0.417568405408661	0.561538414631927	-0.162697537630244	0.870756585844539	0.995401249173013
