Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
FOXM1	R-HSA-72187	mRNA 3'-end processing	13/250	148/8827	0.0878378378378378	3.10137837837838	4.40133609806034	0.000281567849314376	0.00253587126940415	0.00192300687254406	CHERP/CPSF7/CSTF2/RBMX/POLR2D/MAGOHB/HNRNPR/HNRNPK/HNRNPC/HNRNPD/SF3B2/SF3B3/SF3A3	13
FOXM1	R-HSA-72172	mRNA Splicing	16/250	209/8827	0.076555023923445	2.703004784689	4.25373104811281	0.000282941333032569	0.00253587126940415	0.00192300687254406	CHERP/WBP11/SF1/RBMX/POLR2D/MAGOHB/PDCD7/PRPF4/PRPF8/HNRNPR/HNRNPK/HNRNPC/HNRNPD/SF3B2/SF3B3/SF3A3	16
FOXM1	R-HSA-168274	Export of Viral Ribonucleoproteins from Nucleus	6/250	33/8827	0.181818181818182	6.41963636363636	5.32498205072707	0.000283034110113879	0.00253587126940415	0.00192300687254406	NUP210/NUP188/NUP107/RAN/NUP62/NUP37	6
FOXM1	R-HSA-180746	Nuclear import of Rev protein	6/250	33/8827	0.181818181818182	6.41963636363636	5.32498205072707	0.000283034110113879	0.00253587126940415	0.00192300687254406	NUP210/NUP188/NUP107/RAN/NUP62/NUP37	6
FOXM1	R-HSA-2132295	MHC class II antigen presentation	11/250	112/8827	0.0982142857142857	3.46775	4.48704822358789	0.000316859524553492	0.00281054398278948	0.00213129722304928	CENPE/KIF4A/KIF11/KIF15/KIF23/KIF2C/KIF18A/KIF20A/TUBA1C/TUBA1B/RACGAP1	11
FOXM1	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	8/250	62/8827	0.129032258064516	4.55587096774194	4.79678373636133	0.000333322716490986	0.00289035151744116	0.00219181702918756	BUB1B/CCNA2/CCNB1/CDC20/CDK1/BUB3/NEK2/MAD2L1	8
FOXM1	R-HSA-165054	Rev-mediated nuclear export of HIV RNA	6/250	34/8827	0.176470588235294	6.23082352941177	5.21705303218321	0.00033563270157434	0.00289035151744116	0.00219181702918756	NUP210/NUP188/NUP107/RAN/NUP62/NUP37	6
FOXM1	R-HSA-9709570	Impaired BRCA2 binding to RAD51	6/250	34/8827	0.176470588235294	6.23082352941177	5.21705303218321	0.00033563270157434	0.00289035151744116	0.00219181702918756	BLM/EXO1/RFC5/RBBP8/RAD51/RHNO1	6
FOXM1	R-HSA-9918481	Dengue Virus-Host Interactions	18/250	257/8827	0.0700389105058366	2.47293385214008	4.09113353499586	0.00035737983717336	0.00304803764973817	0.00231139388617183	CHERP/CPSF7/CSTF2/WBP11/CGAS/DAXX/NEK2/RBMX/POLR2D/PRPF8/HNRNPR/HNRNPK/HNRNPC/HNRNPD/SF3B2/SF3B3/SF3A3/MAPKAP1	18
FOXM1	R-HSA-68884	Mitotic Telophase/Cytokinesis	4/250	13/8827	0.307692307692308	10.864	6.07606592805022	0.00036709269444594	0.00310105923784332	0.00235160132081159	KIF23/PLK1/SMC3/KIF20A	4
FOXM1	R-HSA-9709603	Impaired BRCA2 binding to PALB2	5/250	23/8827	0.217391304347826	7.67565217391304	5.47270277656069	0.000387724857360978	0.00324445234414327	0.00246033946230054	BLM/EXO1/RBBP8/RAD51/RAD51AP1	5
