Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
E2F7	R-HSA-168276	NS1 Mediated Effects on Host Pathways	5/151	42/8877	0.119047619047619	6.99858088930937	5.1257734113036	0.000682554003779664	0.01321523233824	0.01321523233824	NUP107/NUP153/NUP188/KPNA4/KPNB1	5
E2F7	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	7/151	88/8877	0.0795454545454545	4.67632450331126	4.5590563364342	0.000719575154019651	0.0134582363378815	0.0134582363378815	CEP152/CEP78/TUBA1B/TUBGCP4/TUBGCP3/NEDD1/CCP110	7
E2F7	R-HSA-2514853	Condensation of Prometaphase Chromosomes	3/151	11/8877	0.272727272727273	16.0331125827815	6.56252400620306	0.00072022920040934	0.0134582363378815	0.0134582363378815	SMC4/NCAPG/SMC2	3
E2F7	R-HSA-2468052	Establishment of Sister Chromatid Cohesion	3/151	11/8877	0.272727272727273	16.0331125827815	6.56252400620306	0.00072022920040934	0.0134582363378815	0.0134582363378815	ESCO2/SMC3/SMC1A	3
E2F7	R-HSA-157579	Telomere Maintenance	7/151	91/8877	0.0769230769230769	4.52215995924605	4.44246166023952	0.000879390629631765	0.0162434568025086	0.0162434568025086	BLM/POLD3/H2AZ2/CDK2/PRIM1/POLA1/RFC5	7
E2F7	R-HSA-4615885	SUMOylation of DNA replication proteins	5/151	45/8877	0.111111111111111	6.53200883002208	4.89383257506749	0.000941013185292545	0.01718418396324	0.01718418396324	NUP107/NUP153/NUP188/INCENP/TOP2A	5
E2F7	R-HSA-68884	Mitotic Telophase/Cytokinesis	3/151	13/8877	0.230769230769231	13.5664798777382	5.96430657394945	0.00121756210934095	0.0217402478856767	0.0217402478856767	KIF23/SMC3/SMC1A	3
E2F7	R-HSA-113501	Inhibition of replication initiation of damaged DNA by RB1/E2F1	3/151	13/8877	0.230769230769231	13.5664798777382	5.96430657394945	0.00121756210934095	0.0217402478856767	0.0217402478856767	TFDP1/PRIM1/POLA1	3
E2F7	R-HSA-73893	DNA Damage Bypass	5/151	48/8877	0.104166666666667	6.1237582781457	4.68212505790637	0.00126602852533898	0.0223572290134038	0.0223572290134038	POLD3/DTL/USP1/POLE/RFC5	5
E2F7	R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	3/151	14/8877	0.214285714285714	12.5974456007569	5.71249066487985	0.00153038976452236	0.026163152676462	0.026163152676462	E2F8/CCNE2/CDK2	3
E2F7	R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3/151	14/8877	0.214285714285714	12.5974456007569	5.71249066487985	0.00153038976452236	0.026163152676462	0.026163152676462	POLD3/MSH2/MSH6	3
E2F7	R-HSA-69166	Removal of the Flap Intermediate	3/151	14/8877	0.214285714285714	12.5974456007569	5.71249066487985	0.00153038976452236	0.026163152676462	0.026163152676462	POLD3/PRIM1/POLA1	3
E2F7	R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	4/151	31/8877	0.129032258064516	7.58555864131596	4.83158380401948	0.00177054788537024	0.0299502152819997	0.0299502152819997	NUP107/NUP153/NUP188/KPNB1	4
E2F7	R-HSA-5358508	Mismatch Repair	3/151	15/8877	0.2	11.7576158940397	5.48510955592447	0.00188926093501281	0.0309800236996489	0.0309800236996489	POLD3/MSH2/MSH6	3
E2F7	R-HSA-69183	Processive synthesis on the lagging strand	3/151	15/8877	0.2	11.7576158940397	5.48510955592447	0.00188926093501281	0.0309800236996489	0.0309800236996489	POLD3/PRIM1/POLA1	3
E2F7	R-HSA-4419969	Depolymerization of the Nuclear Lamina	3/151	15/8877	0.2	11.7576158940397	5.48510955592447	0.00188926093501281	0.0309800236996489	0.0309800236996489	LMNB1/LEMD3/TMPO	3
E2F7	R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	4/151	32/8877	0.125	7.34850993377483	4.7324647754881	0.00199701993796817	0.0324162731344935	0.0324162731344935	SGO1/HJURP/CDK2/BORA	4
E2F7	R-HSA-69052	Switching of origins to a post-replicative state	6/151	78/8877	0.0769230769230769	4.52215995924605	4.10988087670919	0.00205724734014399	0.0330599647561139	0.0330599647561139	MCM2/CCNE2/CDK2/GMNN/MCM5/CDC6	6
E2F7	R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	5/151	54/8877	0.0925925925925926	5.44334069168506	4.30812077876988	0.00215505337768343	0.0342888195835374	0.0342888195835374	NHEJ1/NSD2/BARD1/MDC1/RNF168	5
E2F7	R-HSA-180746	Nuclear import of Rev protein	4/151	33/8877	0.121212121212121	7.12582781456954	4.63753184165013	0.00224276690286904	0.0349915185719471	0.0349915185719471	NUP107/NUP153/NUP188/KPNB1	4
E2F7	R-HSA-180910	Vpr-mediated nuclear import of PICs	4/151	33/8877	0.121212121212121	7.12582781456954	4.63753184165013	0.00224276690286904	0.0349915185719471	0.0349915185719471	NUP107/NUP153/NUP188/PSIP1	4
E2F7	R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	5/151	55/8877	0.0909090909090909	5.34437086092715	4.25122632343313	0.00233858053362096	0.0351587975609714	0.0351587975609714	CENPK/KNL1/RBBP4/H2AZ2/HJURP	5
E2F7	R-HSA-774815	Nucleosome assembly	5/151	55/8877	0.0909090909090909	5.34437086092715	4.25122632343313	0.00233858053362096	0.0351587975609714	0.0351587975609714	CENPK/KNL1/RBBP4/H2AZ2/HJURP	5
E2F7	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	6/151	80/8877	0.075	4.4091059602649	4.02909691180085	0.00234100270007712	0.0351587975609714	0.0351587975609714	CEP152/CEP78/TUBGCP4/TUBGCP3/NEDD1/CCP110	6
E2F7	R-HSA-380287	Centrosome maturation	6/151	80/8877	0.075	4.4091059602649	4.02909691180085	0.00234100270007712	0.0351587975609714	0.0351587975609714	CEP152/CEP78/TUBGCP4/TUBGCP3/NEDD1/CCP110	6
E2F7	R-HSA-159227	Transport of the SLBP independent Mature mRNA	4/151	34/8877	0.117647058823529	6.91624464355279	4.54648001493677	0.00250859542945398	0.0373269708808569	0.0373269708808569	NUP107/NUP153/NUP188/NCBP1	4
E2F7	R-HSA-9659787	Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	3/151	17/8877	0.176470588235294	10.3743669653292	5.08907751670759	0.00275398889163183	0.0402332740804759	0.0402332740804759	CCNE2/TFDP1/CDK2	3
E2F7	R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	3/151	17/8877	0.176470588235294	10.3743669653292	5.08907751670759	0.00275398889163183	0.0402332740804759	0.0402332740804759	CCNE2/TFDP1/CDK2	3
E2F7	R-HSA-159230	Transport of the SLBP Dependant Mature mRNA	4/151	35/8877	0.114285714285714	6.71863765373699	4.45903480753017	0.00279530270469705	0.0404689319499834	0.0404689319499834	NUP107/NUP153/NUP188/NCBP1	4
E2F7	R-HSA-176033	Interactions of Vpr with host cellular proteins	4/151	36/8877	0.111111111111111	6.53200883002207	4.37494840715632	0.00310367535631131	0.0441381088282502	0.0441381088282502	NUP107/NUP153/NUP188/PSIP1	4
E2F7	R-HSA-177243	Interactions of Rev with host cellular proteins	4/151	36/8877	0.111111111111111	6.53200883002207	4.37494840715632	0.00310367535631131	0.0441381088282502	0.0441381088282502	NUP107/NUP153/NUP188/KPNB1	4
